items_availability,items_manufacturer,items_name,items_old_price,items_price
 In Stock,MSI,"MSI Modern 14 B11SB i5 11th Gen / GeForce MX450 / 8GB RAM / 512GB SSD / 14"" FHD",,"Rs. 135,000"
 In Stock,MSI,MSI GF65 Thin 10UE 15.6-inch gaming laptop,Rs. 207000,Rs. 205000
 In Stock,MSI,"MSI Summit B15 A11M i5 11th Gen / 8GB RAM / Iris Xe / 512GB SSD / 15.6"" FHD Display",,"Rs. 138,000"
 In Stock,MSI,"MSI GE66 Raider 10UG Gaming Laptop with 15.6"" 300Hz 3ms Intel Core i7-10870H RTX3070 16GB 2TB NVMe SSD Win10 VR Ready",,Rs. 370000
 In Stock,MSI,MSI GL65 9SEK Gaming Notebook with RTX Series Graphic Card,,Rs. 194000
 In Stock,MSI,"MSI GL65 Leopard 9SCXR Laptop, I5 CPU, GTX 1650 4GB Graphics/8GB/512GB NVME",Rs. 130000,Rs. 128500
 In Stock,MSI,"MSI GE66 Raider 10SF i7 10TH GEN with RTX 2070, 15.6"" 240Hz FHD, 1TB SSD, 16GB RAM",,Rs. 303000
 In Stock,MSI,"MSI Prestige 15 A11SCX i7 11th Gen / GTX 1650 Ti / 16GB RAM / 512GB SSD / 15.6"" FHD Display",,Rs. 207600
 In Stock,MSI,PS42 Modern 8MO,,Rs. 112900
 Out of Stock,DELL,Dell Inspiron 15-5567 15.6-inch Laptop (Core i5 7th Gen/4GB/500GB/LINUX),Rs. 83900,Rs. 71315
 Out of Stock,DELL,Dell Inspiron 15-3567 15.6-inch Notebook (Core i3 6th Gen -6006U/4GB/1TB/Intel Graphics 520),,Rs. 49600
 Out of Stock,DELL,Dell Inspiron 15-5567 15.6-Inch Notebook (Core I5 7th Gen -7200U/8GB/1TB/AMD Radeon R7 M445 Graphics With 4GB GDDR5),Rs. 97900,Rs. 83215
 Out of Stock,DELL,Dell Inspiron 14-5468 14-Inch Notebook (Core I7 7th Gen -7200U/4GB/1TB/Win10/AMD Radeon R7 M440 Graphics With 2G DDR3),Rs. 103900,Rs. 88315
 Out of Stock,DELL,Dell Inspiron 15-5567 15.6-inch Laptop (Core i7 7th Gen/8GB/2TB/LINUX),Rs. 95115,Rs. 91300
 Out of Stock,DELL,DELL 3576- I5-8TH GEN,,Rs. 65350
 Out of Stock,DELL,Dell Inspiron 15 3593  |i7-1065G7U|8GB|1TB|Ubuntu|Nvidia MX 230 2GB GDDR5|FHD|laptop,,Rs. 95000
 Out of Stock,DELL,Dell Inspiron 14 3493 i5-10th GEN|4GB|1TB|Ubuntu|INTEL UHD GRAPHICS,,Rs. 67000
 In Stock,DELL,"Dell Latitude 3410 i3 10th Gen / 4GB RAM / 1TB HDD / 14"" HD Display",,Rs. 62000
 In Stock,DELL,"Dell Vostro 3400 i3 10th Gen / 4GB RAM / 1TB HDD / 14"" HD Display",,Rs. 59000
 In Stock,DELL,"Dell Inspirion 3505 Ryzen 5 3450 / 8GB RAM / 256GB SSD / Vega 8/ 15.6"" FHD TOUCH Display",,Rs. 79000
 In Stock,DELL,"Dell Vostro 3500 i5 11th Gen / 4GB RAM / 1TB HDD / 15.6"" FHD Display",,Rs. 79000
 In Stock,DELL,"Dell Latitude 3420 i5 11th Gen / 4GB RAM / 1TB HDD / 14"" HD Display",,Rs. 81000
 In Stock,DELL,"Dell Inspiron 3511 i5 11th Gen / 8GB RAM / 256GB SSD / 15.6"" FHD Display",,Rs. 82000
